artist,date,location,song,spotify,lyrics,url
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Flaca,https://open.spotify.com/track/1p7m9H4H8s0Y7SgRm7j3ED,"Flaca, no me claves tus puñales por la espalda
tan profundo, no me duelen, no me hacen mal.
Lejos en el centro de la tierra las raíces del amor
donde estaban quedarán.

Entre ""no me olvides"" me dejé nuestros abriles olvidados

en el fondo del placar del cuarto de invitados

eran tiempos dorados un pasado mejor.



Aunque: casi me equivoco y te digo poco a poco no me mientas

no me digas la verdad no te quedes callada

no levantes la voz ni me pidas perdón.



Aunque: casi te confieso que también he sido un perro compañero

un perro ideal que aprendió a ladrar

y a volver al hogar para poder comer.



Flaca no me claves tus puñales

por la espalda, tan profundo

no me duelen no me hacen mal.



Lejos en el centro de la tierra las raíces

del amor, donde estaban

quedarán.",https://api.lyrics.ovh/v1/Andres%20Calamaro/Flaca
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Paula,https://open.spotify.com/track/7jdoBAjvi0gZhXYzY6MgLn,"Yo sé que mentí
Yo sé que fallé
Que te traicioné
Y que me alejé de ti
Vagando en el denso mar de la falsedad
De espalda al infinito



Me puedes matar

Me puedes dejar

Pero nunca tendrás que te dejé de amar

Tú sabes que eres mi otra mitad

Mi espíritu gemelo



Paula no me olvides

Paula para siempre

Paula en el alma

Me falta tu mirada

Tu sonrisa dulce

Y tu cuerpo al despertar



¿Dónde estás?

¿Dónde estás?

¿Dónde vas?



Sé que te perdí cuando resbalé

Pero nunca jamás te dejaré de amar

Tú sabes que eres mi otra mitad

Mi espíritu gemelo



Paula no me olvides

Paula para siempre

Paula en el alma

Me falta tu mirada

Tu sonrisa dulce

Y tu cuerpo al despertar



¿Dónde estas?

¿Dónde estas?

¿Dónde vas?



Paula invisible

Paula transparente

Paula en el alma

Me falta tu mirada

Tu sonrisa dulce

Y tu cuerpo al despertar



¿Dónde estas?

¿Dónde estas?

¿Dónde vas?",https://api.lyrics.ovh/v1/Andres%20Calamaro/Paula
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Verdades Afiladas,https://open.spotify.com/track/5uAEUfsOJ0DH23FOtxDdl6,"Atrapado por verdades afiladas 
que me van a lastimar de todos modos 
despedirse de una carta viene eso 
no es lo mismo despedirse con un beso 
Voy a olvidarte en cuanto pueda 

si no existo a tu lado ya no existo 

Hemos visto muchas cosas en la vida 

Lo prohibido se permite mucho juego 



Que se apague el fuego 

que tengo dentro del pecho 

o que vuelvas para serle infiel conmigo 



Que se apague el fuego 

que quema dentro del pecho 

o que vuelvas para serle infiel conmigo 



De la rosa me quedé con las espinas 

si creyeras en las oportunidades 

si no fueran afiladas las verdades 

ya no seguiré sangrando las heridas



Lo prohibido es una forma de vida 

solo espero que se apague de repente el recuerdo 

y confío en la promesa 

del olvido 



De que se apague el fuego 

que quema dentro del pecho 

a que. vuelvas para complicar conmigo 

Que se acabe este fuego 

que todos salen perdiendo 

y que vuelvas para serle infiel 

porque no va a ser igual con él 

y que vuelvas pra serle infiel conmigo",https://api.lyrics.ovh/v1/Andres%20Calamaro/Verdades%20Afiladas
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Adan Rechaza,https://open.spotify.com/track/5YYPSMq0VDgZScMnvtsanT,"Adán rechaza la manzana, 
vestida con apenas una hoja. 
Evita palpita problemas, 
vale la pena tentación. 
Las leyes de la tribu y las del corazón 

nunca son las mismas leyes; 

una yunta de bueyes, asiente, 

me dieron finalmente la razón. 



Quiero vivir hasta que el padrecito 

me llame para empezar de nuevo, 

y escribir mis mejores canciones 

y alegrar los corazones en el cielo. 

Voy a comer el papel de un caramelo, 

voy a fumar el opio del pueblo, 

beber para creer, tomar para olvidar, 

adiós, me voy a navegar. 



Me voy a galopar hasta internarme en el mar, 

es preferible reír y cantar; 

estos hombres no saben pedir, 

tampoco aprendieron a llorar. 



La verdad solo es una palabra, 

lo siento si no aprendí a disimular. 

No vimos venir al imprevisto, 

pero hay más trenes para tomar. 



Ahora es un dato menor, 

prefiero robar tu atención que tu corazón. 



Quiero vivir hasta que el padrecito 

me llame para empezar de nuevo, 

y escribir mis mejores canciones 

y alegrar los corazones en el cielo. 

Quiero vivir hasta que el padrecito 

me llame para empezar de nuevo, 

y escribir mis mejores canciones 

y alegrar los corazones en el cielo. 

Y alegrar los corazones en el cielo. 

Alegrar los corazones en el cielo.",https://api.lyrics.ovh/v1/Andres%20Calamaro/Adan%20Rechaza
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Falso LV,https://open.spotify.com/track/6ghMfkEFaRfLt1fIztqrHk,"Más falso que un esquimal descalzo 
Un tatuaje comprado en un supermercado 
Una banda que te esconde y no te nombra 
La sombra de un auténtico Napoleón. 
La grieta del nuevo medioevo 

Por quemada quiere empezar de nuevo 

Se palpita una nueva primavera 

La “Revoluti” ya no es lo que era. 



Sin guillotina no hay revolución 

Es un falso Louis Vuitton, casi una mentira 

Vienen con camisetas de rock y peluquería falsos 

Falso, más falso, falso Louis Vuitton. 



Me quedo viendo el tiempo en mi viejo reloj de cuarzo 

Esperando la devaluación de marzo 

El momento de gloria de un chorizo botón 

Viva el falso Louis Vuitton. 



Sin guillotina no hay revolución 

Viva falso Louis Vuitton, casi una mentira 

Vienen con camisetas de rock, mones y peluquería falsos, 

Falso, más falso, falso Louis Vuitton 

Falso, falso, más falso, falso Louis Vuitton.",https://api.lyrics.ovh/v1/Andres%20Calamaro/Falso%20LV
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Transito Lento,https://open.spotify.com/track/2Haz6Ybsbv2hVEUHyVNESJ,"Uh… 
En tantas horas perdidas, sin traslados, 
no soy la fruta madura de los viajes. 
Horas de tránsito lento, mirando por la ventana, 
fumando, espero llegar por algún lado. 



En alguna parte, me espera seguir esperando 

y dicen que navegar es preciso. 

Pero lo que preciso es llegar, pero no aprendí a esperar, 

el viento no sabe un pimiento de tránsito lento. 



Esperar salir, esperar en el tránsito lento. 

Llegar y esperar para volar y, 

esperar llegar, para encontrar 

un nuevo amor. 



No sé si están perdidos los días iguales, 

no sé en dónde descansan los días distintos. 



Esperar salir, esperar en el tránsito lento. 

Llegar y esperar para volar y, 

esperar llegar, para besar 

tu cicatriz. 



Esperar salir, esperar en el tránsito lento. 

Llegar y esperar para volar y, 

esperar llegar, para encontrar 

su realidad.",https://api.lyrics.ovh/v1/Andres%20Calamaro/Transito%20Lento
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",My Mafia,https://open.spotify.com/track/0JPwyYVG1t8ElP39lBXZ8g,"My mafia es para mí 
mi amistad y mi riñón, 
fue fortuna y, es así, 
una cuestión de gratitud. 
Eso no se va a romper, 

es duro como el metal, 

confieso estar y pensar 

más allá del bien, más allá del mal. 



Cuando ladra la moral 

en modal inquisición, 

me corresponde cantar 

a la libertad, a la libertad. 



My mafia viene a mi casa 

y se sienta en esta mesa, 

es una declaración 

del corazón y la cabeza. 



Conocí al gallego Frank, 

también al gordo Raúl; 

hermanos por elección, 

Osvaldo, Jorge y Adrilón. 



Cuando ladra la moral 

en modal inquisición, 

me corresponde cantar 

a la libertad, a la libertad. 



En el día del amigo 

pueden contar conmigo 

para sentarme en la mesa 

de los bandidos, de los bandidos.",https://api.lyrics.ovh/v1/Andres%20Calamaro/My%20Mafia
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Cuarteles De Invierno,https://open.spotify.com/track/0TRb5vLzLXo2C1lRyhEF7X,"Tengo planes musicales
Para los cuarteles invernales
Y me voy echando de menos
Las pequeñas grandes cosas
A los vecinos buenos

A buscar mis alimentos

A buscarme la rutina

Que Argentina voy a encontrar

No lo se...

Lo sospecho con el pecho

Una lagrima no brota

Echo de menos mi techo

Pero no se me nota



Porque la procesión va por dentro

Saco fuerza y me voy al encuentro

De mi destino



Vuelvo al frío infierno

De los cuarteles de invierno

Una cosecha de canciones

Llevo en los renglones...



Cuando la procesión va por dentro

Saco pecho y me voy al encuentro

De mi destino



Vuelvo al frío infierno

De los cuarteles de invierno

Una cosecha de canciones

Llevo en los renglones...



Vuelvo al frío infierno

De los cuarteles de invierno

Una cosecha de canciones

Llevo en los renglones...



Me vuelvo echando de menos

Algunos amigos buenos

Y ademas las pequeñas grandes cosas...",https://api.lyrics.ovh/v1/Andres%20Calamaro/Cuarteles%20De%20Invierno
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Egoistas,https://open.spotify.com/track/6wjkW661621vUnul8k7wGO,"Egoístas hay en todas partes, 
inseguros hay en todos lados. 
Soldados que necesitan ser aceptados, 
necesitados de afección. 
Es menester que sea cuando aprenda 

a estar solo y estar bien, 

y alguna cosa más es nuestra fragilidad, 

es verdad y no se puede negar. 



Hubo veces que por meses no dormí, 

salvado por el milagro del pan y los peces. 

Y a veces no supe darme cuenta a tiempo, 

quise ser cordial, hice todo mal, 

el tango fatal del cañaveral. 



A bailar el tango de Napoleón, 

si los bandoneones quieren tocar. 

Perdón por mi egoísmo y 

mi falta de interés por los demás. 



Me estoy curando de espanto 

en el destino del canto. 

Qué compromiso dar el segundo aviso; 

hay que entrar a matar y no se puede negar. 



Hubo veces que por meses no dormí, 

salvado por el milagro del pan y los peces. 

Y a veces no supe darme cuenta a tiempo, 

quise ser cordial, hice todo mal, 

el tango fatal del cañaveral. 



Quise ser cordial, hice todo mal, 

el tango fatal del cañaveral.",https://api.lyrics.ovh/v1/Andres%20Calamaro/Egoistas
Andres Calamaro,2021-05-05,"Sala Kafé Zentral Pamplona, Navarra",Te quiero igual,https://open.spotify.com/track/7qIw4D1PcDHigDohKkLB0W,"Te quiero pero te llevaste la flor
y me dejaste el florero
te quiero me dejaste la ceniza
y te llevaste el cenicero
te quiero pero te llevaste marzo
y te rendiste en febrero

primero te quiero igual

te quiero, te llevaste la cabeza

y me dejaste el sombrero

te quiero pero te olvidaste abril

en el ropero pero igual

te quiero no me gusta esperar

pero igual te espero

primero te quiero igual

te quiero me dejaste el florero

y te llevaste la flor

pero igual

te quiero me dejaste el vestido

y te llevaste el amor

te quiero pero te olvidaste abril

en el ropero

primero te quiero igual

no sé si estoy despierto

o tengo los ojos abiertos

no sé si estoy despierto

o tengo los ojos abiertos

te quiero, no sé si estoy despierto

o tengo los ojos abiertos

sé que te quiero y que me esperan

más aeropuertos

te quiero te llevaste la vela

y me dejaste el entierro

primero te quiero igual

te quiero pero te llevaste la flor

y me dejaste el florero

te quiero me dejaste la ceniza

y te llevaste el cenicero

te quiero pero te llevaste marzo

y te rendiste en febrero

primero te quiero igual",https://api.lyrics.ovh/v1/Andres%20Calamaro/Te%20quiero%20igual
